airline_name,date,route ,origin,origin code,destination code,destination,layover 1,layover 2,overall_rating,seat_comfort_rating,cabin_staff_rating,inflight_entertainment_rating,value_money_rating
emirates,2015-07-19,auckland|sydney,auckland,AKL,SYD,sydney,,,4,4,4,4,4
emirates,2015-07-18,dublin|bangkok,dublin,DUB,BKK,bangkok,,,2,2,1,2,2
emirates,2015-07-18,bangkok|dubai,bangkok,BKK,DXB,dubai,,,2,2,1,2,2
emirates,2015-07-16,jfk|milan,jfk,JFK,MXP,milan,,,5,5,5,5,5
emirates,2015-07-16,sydney|bangkok,sydney,SYD,BKK,bangkok,,,5,5,5,5,5
emirates,2015-07-15,kuala lumpur|paris,kuala lumpur,KUL,CDG,paris,,,2.5,3,1,4,3
emirates,2015-07-15,paris|dubai,paris,CDG,DXB,dubai,,,2.5,3,1,4,3
emirates,2015-07-14,london|shanghai,london,LHR,PVG,shanghai,,,4,4,4,5,4
emirates,2015-07-14,shanghai|dubai,shanghai,PVG,DXB,dubai,,,4,4,4,5,4
emirates,2015-07-13,ist|dubai,ist,IST,DXB,dubai,,,2.5,5,2,4,4
emirates,2015-07-12,bkk|dxb,bkk,BKK,DXB,dxb,,,4,5,2,5,4
emirates,2015-07-10,christchurch|sydney,christchurch,CHC,SYD,sydney,,,0.5,5,1,2,2
emirates,2015-07-10,frankfurt|sydney,frankfurt,FRA,SYD,sydney,,,0.5,2,1,3,2
emirates,2015-07-10,sydney|dubai,sydney,SYD,DXB,dubai,,,0.5,2,1,3,2
emirates,2015-07-09,tpe|waw,tpe,TPE,WAW,waw,,,4,4,5,4,5
emirates,2015-07-09,waw|dxb,waw,WAW,DXB,dxb,,,4,4,5,4,5
emirates,2015-07-09,dubai|paris,dubai,DXB,CDG,paris,,,3,1,2,2,3
emirates,2015-07-09,bkk|dxb,bkk,BKK,DXB,dxb,,,0.5,1,1,5,3
emirates,2015-07-08,oslo|bangkok,oslo,OSL,BKK,bangkok,,,3.5,4,2,5,5
emirates,2015-07-08,bangkok|dubai,bangkok,BKK,DXB,dubai,,,3.5,4,2,5,5
emirates,2015-07-08,barcelona|perth,barcelona,BCN,PER,perth,,,4,4,4,5,5
emirates,2015-07-08,perth|dubai,perth,PER,DXB,dubai,,,4,4,4,5,5
emirates,2015-07-08,hkg|dubai,hkg,HKG,DXB,dubai,,,5,5,5,5,4
emirates,2015-07-07,sydney|madrid,sydney,SYD,MAD,madrid,,,4.5,4,5,5,4
emirates,2015-07-07,madrid|dubai,madrid,MAD,DXB,dubai,,,4.5,4,5,5,4
emirates,2015-07-07,birmingham|dubai,birmingham,BHX,DXB,dubai,,,4,4,4,5,5
emirates,2015-07-07,brussels|bangkok,brussels,BRU,BKK,bangkok,,,4,5,5,5,5
emirates,2015-07-07,bangkok|dubai,bangkok,BKK,DXB,dubai,,,4,5,5,5,5
emirates,2015-07-06,london heathrow|delhi,london heathrow,LHR,DEL,delhi,,,5,5,5,5,4
